user,votes,tags,date
casolorz,92,google-play and in-app-purchase and google-play-services and in-app-billing,"Jun 6, 2017 at 18:54"
Joey.Z,87,android and android-ndk and gdb and gdbserver,"Feb 5, 2018 at 3:03"
Philip,86,julia and traits,"Feb 24, 2016 at 22:19"
dad,78,r and ggplot2 and sf and xquartz,"Jul 1, 2018 at 18:42"
dMurdZ,63,xcode and interface-builder and xcode6,"Sep 16, 2014 at 13:32"
Murtaza Hussain,61,reactjs and facebook and webview and stripe-payments and instagram,"Jun 3, 2022 at 10:30"
Mohammad ZeinEddin,61,php and doctrine-orm and zend-framework2 and zend-form2,"Jul 18, 2013 at 11:39"
user9179380,54,javascript and html and pdf-generation and google-chrome-devtools and google-chrome-headless,"Oct 9, 2018 at 21:31"
Sun,52,java and android and android-listview and android-asynctask and android-viewholder,"Apr 18, 2015 at 9:22"
UserFrank,52,amazon-s3 and upload and cpu and paperclip and space-leak,"Aug 15, 2013 at 1:14"
Richie,51,android and google-play,"Jun 17, 2019 at 7:05"
Andrey,49,linux and maven and ubuntu and glassfish and cargo,"Jun 27, 2012 at 13:32"
drmrbrewer,49,android and alarmmanager and android-jobscheduler,"Sep 7, 2016 at 7:33"
mram888,49,node.js and node-opcua and kepserverex,"Sep 5, 2016 at 11:18"
Sajjon,48,swiftui and xcode12,"Jun 23, 2020 at 10:35"
Daniel,48,html and graphviz and dot and edges and orthogonal,"May 10, 2016 at 10:43"
James,48,javascript and html and css and google-chrome and android-chrome,"Jun 19, 2018 at 23:09"
Payam Roozbahani,47,android-studio and android-emulator,"Dec 23, 2018 at 5:31"
Marcel Bro,46,android and debugging and interrupted-exception,"Aug 27, 2015 at 17:18"
Lazarus Lazaridis,46,ruby-on-rails and ruby and caching and couchbase,"Nov 3, 2014 at 10:28"
Congruent Tech. UG,45,list and warnings and swiftui and view-hierarchy,"Jul 14, 2019 at 13:33"
Joyce de Lanna,45,android and mobile and xamarin.forms and renderer,"Apr 2, 2018 at 21:27"
Statey,45,c# and unity-game-engine and marching-cubes,"Jun 26, 2017 at 12:47"
kspearrin,45,java and android and keystore and android-keystore,"Jun 10, 2017 at 2:45"
Krish Lakshmanan,45,javascript and ios and swift2 and ios9 and wkwebview,"Jan 29, 2016 at 10:59"
Derek Warner,45,mariadb and galera,"Jul 4, 2015 at 21:36"
Alexis King,44,haskell and functional-dependencies and type-families,"Jul 27, 2017 at 21:02"
Eatdoku,44,javascript and flash and aws-sdk,"Feb 26, 2017 at 3:59"
The Holy Coder,44,android and wear-os and android-ble and gamecontroller,"Jul 13, 2016 at 19:34"
beefyhalo,44,scala and macros and shapeless and type-level-computation,"Aug 23, 2015 at 20:07"
